country,isonum,isocode,year,busi,econ,educ,envi,gove,heal,pers,safe,soci,prosperity
Afghanistan,4,AFG,2007,35.30816650390625,53.25171279907226,22.494400024414066,39.29334259033203,29.76030731201172,51.600807189941406,32.29010391235352,37.24028015136719,37.69165802001953,37.65897538926866
Angola,24,AGO,2007,27.05737113952637,51.74357986450195,35.91666793823242,47.98216247558594,30.910104751586914,57.91400527954102,45.12345886230469,53.32512283325195,44.95454406738281,43.88077969021268
Albania,8,ALB,2007,40.62637710571289,57.97951126098633,56.31841278076172,51.04944229125977,42.531654357910156,74.52774810791016,60.27591323852539,68.98988342285156,41.7406120300293,54.89328384399414
United Arab Emirates,784,ARE,2007,52.79174041748047,67.16781616210939,59.942955017089844,62.05147933959961,48.831993103027344,77.57512664794922,49.08757019042969,80.37022399902344,52.18182373046875,61.111192067464195
Argentina,32,ARG,2007,47.43841934204102,62.47650527954102,51.99555206298828,64.90972900390625,45.03274154663086,74.43910217285156,63.80562210083008,68.51971435546875,48.40077209472656,58.55757310655382
Armenia,51,ARM,2007,46.20021438598633,52.08146667480469,59.18342590332031,54.19888305664063,38.11512756347656,67.91763305664061,55.07895278930664,71.59526824951172,44.636024475097656,54.33411068386502
Australia,36,AUS,2007,73.42958068847656,80.69415283203125,78.74781036376953,73.88429260253906,78.97810363769531,80.61089324951172,84.31954956054688,80.57516479492188,67.80727386474611,77.67186906602647
Austria,40,AUT,2007,65.7352294921875,79.40351104736328,76.01275634765625,68.56735992431639,77.44281768798828,79.66332244873047,73.27188873291016,81.4877700805664,67.20408630371094,74.30986022949219
Azerbaijan,31,AZE,2007,44.64907836914063,55.54511642456055,61.39123916625977,43.4479866027832,32.170604705810554,63.36712646484375,44.87109375,64.28309631347656,39.45774841308594,49.909232245551216
Burundi,108,BDI,2007,29.76449775695801,43.58687973022461,27.288427352905273,54.7981071472168,37.00841522216797,60.89915466308594,44.7602653503418,53.68046569824219,34.53563690185547,42.924649980333115
Belgium,56,BEL,2007,66.91303253173828,78.99835968017578,78.60084533691406,56.15692901611328,73.6083984375,81.34881591796875,85.22164916992188,78.13798522949219,59.49873352050781,73.16497209337022
Benin,204,BEN,2007,34.164539337158196,52.07169723510742,25.514373779296875,56.9712028503418,49.20257568359375,54.60943603515625,63.34137344360352,65.48629760742189,36.40393447875977,48.640603383382164
Burkina Faso,854,BFA,2007,34.69198989868164,53.58271026611328,21.897518157958984,58.274375915527344,37.106441497802734,58.92871475219727,61.00746536254883,70.42594909667969,41.55522918701172,48.60782157050239
Bangladesh,50,BGD,2007,46.2121467590332,55.02722930908203,36.68133163452149,48.95857620239258,35.28449630737305,65.07501220703125,44.77117538452149,68.11898803710939,43.49972915649414,49.292076110839844
Bulgaria,100,BGR,2007,47.71453475952149,61.67065048217773,62.446205139160156,53.85824584960938,50.8016357421875,68.90377044677734,64.90467834472656,71.12898254394531,42.63509368896485,58.229310777452255
